Datetime,Date,PeriodID(1 to 48),Area Demand (MW),Nuclear,Thermal (LNG),Thermal (Coal),Thermal (Oil),Thermal (Other),Hydroelectric,Geothermal,Biomass,Solar PV Output,Solar PV Curtailment,Wind Power Output,Wind Power Curtailment,Pumped Storage,Battery Storage,Interconnected Lines,Others,Total
2024-03-01 00:00:00,2024-03-01,1,15055,4542,5809,3499,5,444,1441,0,144,0,0,89,0,-621,0,-410,113,15055
2024-03-01 00:30:00,2024-03-01,2,14500,4542,5497,3504,5,374,1438,0,144,0,0,90,0,-935,0,-272,113,14500
2024-03-01 01:00:00,2024-03-01,3,14374,4542,5489,3504,5,365,1411,0,144,0,0,95,0,-864,0,-424,107,14374
2024-03-01 01:30:00,2024-03-01,4,14301,4542,5507,3501,5,358,1415,0,144,0,0,88,0,-919,0,-444,104,14301
2024-03-01 02:00:00,2024-03-01,5,14505,4541,5900,3500,5,354,1416,0,144,0,0,114,0,-863,0,-712,106,14505
2024-03-01 02:30:00,2024-03-01,6,14630,4542,5796,3503,5,358,1420,0,144,0,0,134,0,-406,0,-968,102,14630
2024-03-01 03:00:00,2024-03-01,7,14835,4542,6050,3501,5,357,1424,0,144,0,0,140,0,-326,0,-1108,106,14835
2024-03-01 03:30:00,2024-03-01,8,14810,4543,5893,3500,5,359,1425,0,144,0,0,138,0,-324,0,-976,103,14810
2024-03-01 04:00:00,2024-03-01,9,14668,4543,5872,3504,5,362,1429,0,144,0,0,130,0,-485,0,-942,106,14668
2024-03-01 04:30:00,2024-03-01,10,14754,4542,6111,3507,5,360,1427,0,144,0,0,137,0,-667,0,-916,104,14754
2024-03-01 05:00:00,2024-03-01,11,14836,4542,5943,3511,5,367,1497,0,144,0,0,139,0,-694,0,-722,104,14836
2024-03-01 05:30:00,2024-03-01,12,14970,4541,6099,3502,5,396,1575,0,144,0,0,148,0,-1007,0,-534,101,14970
2024-03-01 06:00:00,2024-03-01,13,15634,4542,6287,3515,5,467,1743,0,144,0,0,152,0,-797,0,-528,104,15634
2024-03-01 06:30:00,2024-03-01,14,16410,4542,6556,3512,5,474,1777,0,144,42,0,152,0,-775,0,-124,105,16410
2024-03-01 07:00:00,2024-03-01,15,17293,4542,6901,3511,5,498,1819,0,144,267,0,153,0,-594,0,-50,97,17293
2024-03-01 07:30:00,2024-03-01,16,18001,4542,6783,3508,5,481,1921,0,145,666,0,134,0,-247,0,-34,97,18001
2024-03-01 08:00:00,2024-03-01,17,18824,4541,6568,3510,5,406,2239,0,145,1176,0,140,0,202,0,-182,74,18824
2024-03-01 08:30:00,2024-03-01,18,19581,4541,6608,3504,5,379,2284,0,145,1802,0,135,0,35,0,68,75,19581
2024-03-01 09:00:00,2024-03-01,19,19954,4542,6463,3506,5,367,2384,0,145,2330,0,127,0,198,0,-136,23,19954
2024-03-01 09:30:00,2024-03-01,20,19911,4543,5898,3434,5,370,2404,0,145,2711,0,131,0,199,0,48,23,19911
2024-03-01 10:00:00,2024-03-01,21,19769,4543,5220,3412,5,355,2395,0,145,2843,0,127,0,75,0,660,-11,19769
2024-03-01 10:30:00,2024-03-01,22,19405,4542,5232,3411,5,359,2375,0,145,2979,0,125,0,-494,0,736,-10,19405
2024-03-01 11:00:00,2024-03-01,23,19048,4542,5243,3499,5,357,2124,0,144,3270,0,113,0,-897,0,658,-10,19048
2024-03-01 11:30:00,2024-03-01,24,18663,4541,4855,3509,5,363,2092,0,144,3567,0,108,0,-1269,0,756,-8,18663
2024-03-01 12:00:00,2024-03-01,25,17911,4542,4864,3510,5,357,1732,0,144,3419,0,107,0,-1892,0,1132,-9,17911
2024-03-01 12:30:00,2024-03-01,26,17518,4542,4627,3510,5,358,1706,0,144,3513,0,112,0,-2024,0,1032,-7,17518
2024-03-01 13:00:00,2024-03-01,27,18070,4542,5037,3511,5,358,1847,0,144,3655,0,93,0,-2000,0,876,2,18070
2024-03-01 13:30:00,2024-03-01,28,18186,4541,5165,3512,5,360,1851,0,144,3509,0,93,0,-1698,0,702,2,18186
2024-03-01 14:00:00,2024-03-01,29,18063,4541,5131,3510,5,356,1751,0,144,3120,0,96,0,-1567,0,970,6,18063
2024-03-01 14:30:00,2024-03-01,30,17953,4541,5322,3508,5,360,1752,0,144,2744,0,77,0,-1202,0,696,6,17953
2024-03-01 15:00:00,2024-03-01,31,17797,4541,5196,3510,5,360,1772,0,144,2267,0,73,0,-421,0,324,26,17797
2024-03-01 15:30:00,2024-03-01,32,17838,4541,5281,3510,5,361,1836,0,144,1830,0,83,0,106,0,116,25,17838
2024-03-01 16:00:00,2024-03-01,33,18110,4541,5756,3511,5,360,1996,0,144,1218,0,105,0,150,0,254,70,18110
2024-03-01 16:30:00,2024-03-01,34,18010,4541,6304,3507,5,360,2083,0,144,627,0,104,0,133,0,132,70,18010
2024-03-01 17:00:00,2024-03-01,35,17966,4541,6618,3517,5,349,2333,0,144,232,0,90,0,112,0,-74,99,17966
2024-03-01 17:30:00,2024-03-01,36,18223,4540,6717,3512,3,378,2341,0,144,33,0,88,0,111,0,260,96,18223
2024-03-01 18:00:00,2024-03-01,37,18613,4540,7027,3513,3,447,2320,0,144,0,0,94,0,119,0,294,112,18613
2024-03-01 18:30:00,2024-03-01,38,18769,4541,7006,3512,3,453,2321,0,144,0,0,96,0,119,0,462,112,18769
2024-03-01 19:00:00,2024-03-01,39,18616,4541,6786,3512,3,454,2309,0,144,0,0,106,0,122,0,524,115,18616
2024-03-01 19:30:00,2024-03-01,40,18401,4541,6468,3515,3,457,2301,0,144,0,0,120,0,116,0,624,112,18401
2024-03-01 20:00:00,2024-03-01,41,18248,4540,6785,3514,3,453,1849,0,144,0,0,134,0,149,0,562,115,18248
2024-03-01 20:30:00,2024-03-01,42,18088,4540,6749,3510,3,455,1759,0,144,0,0,144,0,123,0,548,113,18088
2024-03-01 21:00:00,2024-03-01,43,17786,4541,6435,3512,3,457,1506,0,144,0,0,150,0,134,0,794,110,17786
2024-03-01 21:30:00,2024-03-01,44,17474,4541,6494,3509,3,456,1460,0,144,0,0,156,0,122,0,478,111,17474
2024-03-01 22:00:00,2024-03-01,45,17260,4541,6358,3403,3,456,1440,0,144,0,0,155,0,140,0,516,104,17260
2024-03-01 22:30:00,2024-03-01,46,16779,4541,5856,3221,3,452,1432,0,144,0,0,151,0,120,0,756,103,16779
2024-03-01 23:00:00,2024-03-01,47,16531,4540,6084,3114,3,380,1433,0,144,0,0,145,0,136,0,446,106,16531
2024-03-01 23:30:00,2024-03-01,48,16102,4541,5890,3032,3,345,1405,0,144,0,0,143,0,118,0,376,105,16102
2024-03-02 00:00:00,2024-03-02,1,15627,4540,6018,2672,3,341,1277,0,144,0,0,145,0,154,0,230,103,15627
2024-03-02 00:30:00,2024-03-02,2,15131,4541,6093,2340,3,391,1237,0,144,0,0,132,0,130,0,22,98,15131
2024-03-02 01:00:00,2024-03-02,3,15021,4541,6134,2232,3,453,1223,0,144,0,0,126,0,151,0,-90,104,15021
2024-03-02 01:30:00,2024-03-02,4,15026,4540,6183,2228,3,467,1221,0,144,0,0,117,0,136,0,-114,101,15026
2024-03-02 02:00:00,2024-03-02,5,15239,4541,6376,2229,3,466,1281,0,144,0,0,114,0,152,0,-178,111,15239
2024-03-02 02:30:00,2024-03-02,6,15397,4541,6244,2227,3,474,1265,0,144,0,0,108,0,148,0,134,109,15397
2024-03-02 03:00:00,2024-03-02,7,15451,4541,6284,2229,3,475,1177,0,144,0,0,106,0,135,0,242,115,15451
2024-03-02 03:30:00,2024-03-02,8,15403,4541,6184,2228,3,475,1175,0,144,0,0,102,0,144,0,292,115,15403
2024-03-02 04:00:00,2024-03-02,9,15322,4541,6207,2227,3,469,1163,0,144,0,0,95,0,152,0,208,113,15322
2024-03-02 04:30:00,2024-03-02,10,15164,4541,6206,2237,3,473,1160,0,144,0,0,103,0,158,0,30,109,15164
2024-03-02 05:00:00,2024-03-02,11,15088,4541,6045,2243,3,466,1154,0,144,0,0,106,0,134,0,144,108,15088
2024-03-02 05:30:00,2024-03-02,12,14904,4541,5949,2242,3,468,1163,0,144,0,0,103,0,155,0,28,108,14904
2024-03-02 06:00:00,2024-03-02,13,15351,4541,6184,2245,3,463,1177,0,144,0,0,95,0,195,0,196,108,15351
2024-03-02 06:30:00,2024-03-02,14,15766,4541,5726,2243,3,465,1198,0,144,49,0,84,0,173,0,1034,106,15766
2024-03-02 07:00:00,2024-03-02,15,16280,4541,5705,2245,3,472,1532,0,144,290,0,66,0,137,0,1048,97,16280
2024-03-02 07:30:00,2024-03-02,16,16852,4541,5399,2247,3,395,1677,0,144,827,0,64,0,189,0,1268,98,16852
2024-03-02 08:00:00,2024-03-02,17,17530,4540,5385,2247,3,360,2025,0,144,1472,0,65,0,214,0,1004,71,17530
2024-03-02 08:30:00,2024-03-02,18,17930,4539,5129,2245,3,351,2053,0,144,2222,0,67,0,246,0,862,69,17930
2024-03-02 09:00:00,2024-03-02,19,18051,4540,5087,2244,3,368,2042,0,144,2806,0,71,0,134,0,576,36,18051
2024-03-02 09:30:00,2024-03-02,20,18032,4540,5361,2241,3,350,2010,0,144,3296,0,75,0,127,0,-150,35,18032
2024-03-02 10:00:00,2024-03-02,21,17921,4540,5301,2243,3,360,1708,0,144,3578,0,71,0,142,0,-174,5,17921
2024-03-02 10:30:00,2024-03-02,22,17522,4540,4702,2213,3,353,1640,0,144,3701,0,75,0,-196,0,342,5,17522
2024-03-02 11:00:00,2024-03-02,23,17447,4538,4551,2243,3,352,1196,0,144,3829,0,84,0,-670,0,1176,1,17447
2024-03-02 11:30:00,2024-03-02,24,17207,4539,4067,2245,3,359,1148,0,144,3729,0,78,0,-1354,0,2250,-1,17207
2024-03-02 12:00:00,2024-03-02,25,16766,4538,3601,2247,3,355,1082,0,144,3539,0,78,0,-1658,0,2840,-3,16766
2024-03-02 12:30:00,2024-03-02,26,16571,4539,3760,2245,3,366,1078,0,144,3565,0,85,0,-1882,0,2670,-2,16571
2024-03-02 13:00:00,2024-03-02,27,16823,4538,4112,2245,3,351,1075,0,144,3455,0,77,0,-1930,0,2748,5,16823
2024-03-02 13:30:00,2024-03-02,28,16577,4538,3929,2244,3,354,1075,0,144,3223,0,85,0,-1943,0,2916,9,16577
2024-03-02 14:00:00,2024-03-02,29,16538,4539,4208,2244,3,360,1075,0,144,2910,0,77,0,-1041,0,2018,1,16538
2024-03-02 14:30:00,2024-03-02,30,16568,4539,4675,2245,3,363,1084,0,144,2493,0,75,0,163,0,782,2,16568
2024-03-02 15:00:00,2024-03-02,31,16496,4540,4833,2239,3,358,1156,0,144,2091,0,77,0,238,0,786,31,16496
2024-03-02 15:30:00,2024-03-02,32,16567,4540,5408,2243,3,361,1235,0,144,1748,0,86,0,159,0,610,30,16567
2024-03-02 16:00:00,2024-03-02,33,16893,4540,5539,2241,3,363,1651,0,144,1245,0,86,0,185,0,818,78,16893
2024-03-02 16:30:00,2024-03-02,34,17095,4541,5536,2245,3,364,1840,0,144,698,0,80,0,119,0,1446,79,17095
2024-03-02 17:00:00,2024-03-02,35,17554,4540,6156,2246,3,381,2097,0,144,272,0,75,0,210,0,1310,120,17554
2024-03-02 17:30:00,2024-03-02,36,18134,4540,6479,2247,3,451,2130,0,144,39,0,58,0,313,0,1612,118,18134
2024-03-02 18:00:00,2024-03-02,37,18637,4540,6851,2247,3,450,2150,0,144,0,0,62,0,509,0,1554,127,18637
2024-03-02 18:30:00,2024-03-02,38,18851,4540,6775,2244,3,450,2147,0,144,0,0,53,0,397,0,1972,126,18851
2024-03-02 19:00:00,2024-03-02,39,18775,4540,6388,2247,3,458,2069,0,144,0,0,51,0,171,0,2576,128,18775
2024-03-02 19:30:00,2024-03-02,40,18770,4541,6376,2248,3,448,2068,0,144,0,0,57,0,130,0,2628,127,18770
2024-03-02 20:00:00,2024-03-02,41,18575,4540,6269,2249,3,458,2025,0,144,0,0,52,0,130,0,2578,127,18575
2024-03-02 20:30:00,2024-03-02,42,18386,4540,6477,2248,3,447,1971,0,144,0,0,47,0,151,0,2232,126,18386
2024-03-02 21:00:00,2024-03-02,43,18207,4541,6449,2249,3,450,1815,0,144,0,0,50,0,160,0,2222,124,18207
2024-03-02 21:30:00,2024-03-02,44,17755,4541,6412,2246,3,450,1758,0,144,0,0,42,0,145,0,1892,122,17755
2024-03-02 22:00:00,2024-03-02,45,17352,4540,6195,2229,3,450,1476,0,144,0,0,44,0,201,0,1950,120,17352
2024-03-02 22:30:00,2024-03-02,46,16830,4541,5998,2234,3,405,1440,0,144,0,0,45,0,264,0,1636,120,16830
2024-03-02 23:00:00,2024-03-02,47,16718,4540,6024,2235,3,344,1283,0,144,0,0,39,0,281,0,1702,123,16718
2024-03-02 23:30:00,2024-03-02,48,16314,4541,5698,2231,3,334,1238,0,144,0,0,34,0,268,0,1704,119,16314
2024-03-03 00:00:00,2024-03-03,1,15794,4541,5615,2231,3,337,1203,0,144,0,0,29,0,307,0,1262,122,15794
2024-03-03 00:30:00,2024-03-03,2,15408,4541,5609,2232,3,340,1201,0,144,0,0,26,0,280,0,912,120,15408
2024-03-03 01:00:00,2024-03-03,3,15170,4540,5648,2230,3,344,1180,0,144,0,0,25,0,279,0,658,119,15170
2024-03-03 01:30:00,2024-03-03,4,15118,4540,5556,2234,3,341,1182,0,144,0,0,27,0,290,0,684,117,15118
2024-03-03 02:00:00,2024-03-03,5,15191,4540,5559,2232,3,344,1197,0,144,0,0,33,0,254,0,762,123,15191
2024-03-03 02:30:00,2024-03-03,6,15282,4540,5441,2229,3,342,1245,0,144,0,0,39,0,289,0,890,120,15282
2024-03-03 03:00:00,2024-03-03,7,15319,4541,5460,2230,3,353,1448,0,144,0,0,38,0,248,0,732,122,15319
2024-03-03 03:30:00,2024-03-03,8,15238,4541,5389,2227,3,344,1436,0,144,0,0,35,0,235,0,764,120,15238
2024-03-03 04:00:00,2024-03-03,9,15020,4541,5303,2228,3,346,1213,0,144,0,0,45,0,147,0,934,116,15020
2024-03-03 04:30:00,2024-03-03,10,14916,4541,5383,2236,3,404,1198,0,144,0,0,45,0,251,0,596,115,14916
2024-03-03 05:00:00,2024-03-03,11,14693,4541,5177,2245,3,460,1152,0,144,0,0,34,0,226,0,598,113,14693
2024-03-03 05:30:00,2024-03-03,12,14560,4541,5283,2242,3,464,1149,0,144,0,0,27,0,267,0,326,114,14560
2024-03-03 06:00:00,2024-03-03,13,14912,4541,5441,2246,3,448,1239,0,144,0,0,24,0,365,0,348,113,14912
2024-03-03 06:30:00,2024-03-03,14,15199,4541,5214,2245,3,378,1270,0,144,69,0,23,0,375,0,824,113,15199
2024-03-03 07:00:00,2024-03-03,15,15611,4541,5201,2247,3,352,1766,0,144,379,0,20,0,614,0,248,96,15611
2024-03-03 07:30:00,2024-03-03,16,15945,4540,5116,2247,3,349,1841,0,144,1079,0,13,0,246,0,272,95,15945
2024-03-03 08:00:00,2024-03-03,17,16190,4540,5272,2247,3,341,1776,0,144,1841,0,10,0,127,0,-166,55,16190
2024-03-03 08:30:00,2024-03-03,18,16285,4539,4586,2248,3,354,1771,0,144,2634,0,15,0,39,0,-104,56,16285
2024-03-03 09:00:00,2024-03-03,19,16333,4541,4347,2248,3,350,1474,0,144,3387,0,16,0,-195,0,6,12,16333
2024-03-03 09:30:00,2024-03-03,20,16230,4540,3702,2247,3,348,1346,0,144,4010,0,13,0,-194,0,56,15,16230
2024-03-03 10:00:00,2024-03-03,21,15974,4540,2893,2245,3,351,1091,0,144,4486,0,10,0,-326,0,550,-13,15974
2024-03-03 10:30:00,2024-03-03,22,15582,4541,2269,2227,3,353,1084,0,144,4837,0,11,0,-1169,0,1294,-12,15582
2024-03-03 11:00:00,2024-03-03,23,15460,4540,2371,2218,3,352,1069,0,144,5072,0,14,0,-1790,0,1492,-25,15460
2024-03-03 11:30:00,2024-03-03,24,15236,4540,2122,2219,3,356,1069,0,144,5183,0,17,0,-1730,0,1338,-25,15236
2024-03-03 12:00:00,2024-03-03,25,15169,4540,2157,2230,3,358,1066,0,144,5182,0,19,0,-1905,0,1400,-25,15169
2024-03-03 12:30:00,2024-03-03,26,14865,4540,1839,2241,3,360,1065,0,144,5077,0,19,0,-1964,0,1566,-25,14865
2024-03-03 13:00:00,2024-03-03,27,14820,4539,2091,2247,3,361,1068,0,144,4758,0,24,0,-1625,0,1238,-28,14820
2024-03-03 13:30:00,2024-03-03,28,14651,4541,1982,2246,3,356,1067,0,144,4379,0,29,0,-1434,0,1364,-26,14651
2024-03-03 14:00:00,2024-03-03,29,14556,4540,2185,2246,3,354,1076,0,144,3878,0,46,0,-1045,0,1150,-21,14556
2024-03-03 14:30:00,2024-03-03,30,14535,4541,2664,2236,3,359,1078,0,144,3297,0,55,0,-891,0,1070,-21,14535
2024-03-03 15:00:00,2024-03-03,31,14558,4540,3178,2245,3,361,1121,0,144,2609,0,59,0,-348,0,638,8,14558
2024-03-03 15:30:00,2024-03-03,32,14784,4540,3648,2208,3,361,1130,0,144,1976,0,62,0,131,0,572,9,14784
2024-03-03 16:00:00,2024-03-03,33,15062,4540,4089,2248,3,354,1269,0,144,1326,0,61,0,216,0,754,58,15062
2024-03-03 16:30:00,2024-03-03,34,15517,4539,4666,2230,3,359,1468,0,144,750,0,49,0,302,0,950,57,15517
2024-03-03 17:00:00,2024-03-03,35,16184,4539,5638,2247,3,340,2011,0,144,292,0,39,0,461,0,370,100,16184
2024-03-03 17:30:00,2024-03-03,36,16742,4539,5811,2247,3,380,2057,0,144,44,0,39,0,266,0,1114,98,16742
2024-03-03 18:00:00,2024-03-03,37,17483,4538,6179,2247,3,449,2094,0,144,0,0,44,0,247,0,1422,116,17483
2024-03-03 18:30:00,2024-03-03,38,17609,4538,5711,2248,3,456,2103,0,144,0,0,23,0,228,0,2040,115,17609
2024-03-03 19:00:00,2024-03-03,39,17732,4539,6000,2247,3,463,2109,0,144,0,0,22,0,119,0,1964,122,17732
2024-03-03 19:30:00,2024-03-03,40,17690,4539,5991,2249,3,450,2097,0,144,0,0,24,0,137,0,1938,118,17690
2024-03-03 20:00:00,2024-03-03,41,17593,4540,5952,2248,3,458,1959,0,144,0,0,20,0,242,0,1904,123,17593
2024-03-03 20:30:00,2024-03-03,42,17443,4539,6062,2247,3,438,1924,0,144,0,0,20,0,240,0,1706,120,17443
2024-03-03 21:00:00,2024-03-03,43,17099,4539,5888,2246,3,374,1701,0,144,0,0,21,0,137,0,1926,120,17099
2024-03-03 21:30:00,2024-03-03,44,16698,4539,6019,2246,3,331,1613,0,144,0,0,15,0,243,0,1426,119,16698
2024-03-03 22:00:00,2024-03-03,45,16200,4540,5742,2229,3,326,1473,0,144,0,0,11,0,191,0,1426,115,16200
2024-03-03 22:30:00,2024-03-03,46,15715,4541,5646,2236,3,322,1452,0,144,0,0,10,0,228,0,1022,111,15715
2024-03-03 23:00:00,2024-03-03,47,15456,4539,5242,2234,3,326,1218,0,144,0,0,8,0,557,0,1072,113,15456
2024-03-03 23:30:00,2024-03-03,48,15061,4540,4543,2518,3,324,1164,0,144,0,0,7,0,424,0,1280,114,15061
2024-03-04 00:00:00,2024-03-04,1,14567,4541,4041,2879,3,334,1100,0,144,0,0,5,0,280,0,1126,114,14567
2024-03-04 00:30:00,2024-03-04,2,14201,4541,4221,2927,3,337,1103,0,144,0,0,6,0,275,0,532,112,14201
2024-03-04 01:00:00,2024-03-04,3,13984,4541,4249,2927,3,340,1105,0,144,0,0,6,0,434,0,120,115,13984
2024-03-04 01:30:00,2024-03-04,4,14152,4540,4289,2941,3,338,1104,0,144,0,0,6,0,486,0,186,115,14152
2024-03-04 02:00:00,2024-03-04,5,14197,4540,4486,3021,3,342,1100,0,144,0,0,6,0,450,0,-14,119,14197
2024-03-04 02:30:00,2024-03-04,6,14474,4540,4841,3034,3,348,1098,0,144,0,0,6,0,527,0,-184,117,14474
2024-03-04 03:00:00,2024-03-04,7,14451,4540,4935,3143,3,355,1097,0,144,0,0,5,0,568,0,-458,119,14451
2024-03-04 03:30:00,2024-03-04,8,14380,4540,4756,3168,3,356,1092,0,144,0,0,6,0,553,0,-358,120,14380
2024-03-04 04:00:00,2024-03-04,9,14512,4540,4939,3209,3,349,1090,0,144,0,0,6,0,587,0,-476,121,14512
2024-03-04 04:30:00,2024-03-04,10,14418,4540,4982,3397,3,358,1079,0,144,0,0,5,0,589,0,-796,117,14418
2024-03-04 05:00:00,2024-03-04,11,14622,4540,5031,3519,3,346,1082,0,144,0,0,6,0,677,0,-844,118,14622
2024-03-04 05:30:00,2024-03-04,12,14835,4540,4811,3513,3,356,1100,0,144,0,0,4,0,519,0,-272,117,14835
2024-03-04 06:00:00,2024-03-04,13,15725,4540,4958,3511,3,387,1418,0,144,0,0,3,0,438,0,202,121,15725
2024-03-04 06:30:00,2024-03-04,14,16652,4541,5419,3512,3,454,1518,0,144,75,0,4,0,360,0,502,120,16652
2024-03-04 07:00:00,2024-03-04,15,17567,4541,5816,3509,4,476,1689,0,144,367,0,5,0,594,0,318,104,17567
2024-03-04 07:30:00,2024-03-04,16,18432,4541,5697,3508,4,473,1808,0,139,896,0,5,0,766,0,492,103,18432
2024-03-04 08:00:00,2024-03-04,17,19404,4540,5781,3513,4,436,1882,0,134,1501,0,7,0,729,0,804,73,19404
2024-03-04 08:30:00,2024-03-04,18,20321,4540,5804,3510,4,386,1880,0,129,2073,0,15,0,666,0,1240,74,20321
2024-03-04 09:00:00,2024-03-04,19,20609,4541,5723,3509,5,369,1878,0,129,2600,0,29,0,672,0,1124,30,20609
2024-03-04 09:30:00,2024-03-04,20,20462,4540,5852,3501,5,361,1872,0,129,3102,0,35,0,539,0,496,30,20462
2024-03-04 10:00:00,2024-03-04,21,20166,4540,5487,3437,5,361,1838,0,129,3541,0,36,0,234,0,540,18,20166
2024-03-04 10:30:00,2024-03-04,22,19869,4541,5035,3438,4,359,1751,0,129,3854,0,39,0,214,0,484,21,19869
2024-03-04 11:00:00,2024-03-04,23,19658,4540,5155,3441,4,362,1259,0,129,3720,0,48,0,168,0,814,18,19658
2024-03-04 11:30:00,2024-03-04,24,19128,4541,5150,3507,4,365,1202,0,129,3615,0,73,0,-507,0,1032,17,19128
2024-03-04 12:00:00,2024-03-04,25,18149,4541,4990,3506,4,363,1018,0,129,3661,0,67,0,-959,0,830,-1,18149
2024-03-04 12:30:00,2024-03-04,26,17940,4540,4999,3511,4,365,1015,0,129,3939,0,58,0,-1146,0,526,0,17940
2024-03-04 13:00:00,2024-03-04,27,18429,4540,5073,3509,4,366,1200,0,129,3998,0,54,0,-878,0,430,4,18429
2024-03-04 13:30:00,2024-03-04,28,18343,4540,4973,3512,4,361,1198,0,129,3932,0,42,0,-850,0,496,6,18343
2024-03-04 14:00:00,2024-03-04,29,18215,4539,5336,3508,4,372,1035,0,129,3703,0,40,0,-900,0,432,17,18215
2024-03-04 14:30:00,2024-03-04,30,18032,4540,5710,3509,4,365,1040,0,129,3286,0,34,0,-997,0,396,16,18032
2024-03-04 15:00:00,2024-03-04,31,17870,4540,5814,3509,4,362,1172,0,129,2781,0,27,0,-433,0,-82,47,17870
2024-03-04 15:30:00,2024-03-04,32,17987,4540,6611,3507,4,358,1232,0,137,2175,0,27,0,417,0,-1068,47,17987
2024-03-04 16:00:00,2024-03-04,33,18165,4540,6781,3504,4,371,1556,0,143,1425,0,27,0,429,0,-702,87,18165
2024-03-04 16:30:00,2024-03-04,34,18211,4540,6939,3508,4,363,1624,0,144,724,0,17,0,249,0,12,87,18211
2024-03-04 17:00:00,2024-03-04,35,18167,4540,6932,3500,4,357,1798,0,144,249,0,11,0,219,0,294,119,18167
2024-03-04 17:30:00,2024-03-04,36,18494,4539,7135,3430,4,384,1825,0,144,38,0,6,0,266,0,606,117,18494
2024-03-04 18:00:00,2024-03-04,37,18897,4540,7362,3435,4,442,1841,0,144,0,0,5,0,298,0,696,130,18897
2024-03-04 18:30:00,2024-03-04,38,18824,4540,7131,3472,4,460,1847,0,144,0,0,1,0,299,0,798,128,18824
2024-03-04 19:00:00,2024-03-04,39,18643,4540,7209,3478,4,456,1839,0,144,0,0,0,0,215,0,628,130,18643
2024-03-04 19:30:00,2024-03-04,40,18361,4540,7347,3427,4,467,1824,0,144,0,0,1,0,134,0,344,129,18361
2024-03-04 20:00:00,2024-03-04,41,18065,4539,7278,3433,4,463,1612,0,144,0,0,3,0,127,0,338,124,18065
2024-03-04 20:30:00,2024-03-04,42,17882,4539,7483,3430,4,470,1551,0,144,0,0,3,0,158,0,-22,122,17882
2024-03-04 21:00:00,2024-03-04,43,17573,4539,7195,3431,4,475,1488,0,144,0,0,2,0,139,0,34,122,17573
2024-03-04 21:30:00,2024-03-04,44,17144,4540,7470,3431,4,450,1360,0,144,0,0,3,0,159,0,-536,119,17144
2024-03-04 22:00:00,2024-03-04,45,16591,4539,7060,3489,4,364,1067,0,144,0,0,3,0,138,0,-332,115,16591
2024-03-04 22:30:00,2024-03-04,46,16010,4540,6950,3494,4,340,1058,0,144,0,0,4,0,136,0,-772,112,16010
2024-03-04 23:00:00,2024-03-04,47,15662,4539,6701,3497,4,329,1057,0,144,0,0,7,0,142,0,-868,110,15662
2024-03-04 23:30:00,2024-03-04,48,15137,4539,6444,3495,4,329,1051,0,144,0,0,7,0,18,0,-1002,108,15137
2024-03-05 00:00:00,2024-03-05,1,14574,4539,6365,3497,4,339,1045,0,144,0,0,8,0,-633,0,-840,106,14574
2024-03-05 00:30:00,2024-03-05,2,14169,4540,6162,3493,4,376,1044,0,144,0,0,8,0,-869,0,-838,105,14169
2024-03-05 01:00:00,2024-03-05,3,13961,4539,6342,3494,4,454,1030,0,144,0,0,7,0,-1155,0,-1006,108,13961
2024-03-05 01:30:00,2024-03-05,4,14043,4539,6116,3499,4,465,1029,0,144,0,0,8,0,-830,0,-1036,105,14043
2024-03-05 02:00:00,2024-03-05,5,14178,4539,5946,3495,4,469,1025,0,144,0,0,6,0,-694,0,-870,114,14178
2024-03-05 02:30:00,2024-03-05,6,14444,4539,6128,3496,4,467,1021,0,144,0,0,5,0,-693,0,-780,113,14444
2024-03-05 03:00:00,2024-03-05,7,14583,4538,6154,3498,4,467,1019,0,144,0,0,7,0,-470,0,-896,118,14583
2024-03-05 03:30:00,2024-03-05,8,14547,4538,5843,3495,4,469,1033,0,144,0,0,7,0,-196,0,-906,116,14547
2024-03-05 04:00:00,2024-03-05,9,14629,4538,5933,3496,4,467,1035,0,144,0,0,6,0,-196,0,-916,118,14629
2024-03-05 04:30:00,2024-03-05,10,14606,4538,5969,3504,4,467,1035,0,144,0,0,5,0,-195,0,-980,115,14606
2024-03-05 05:00:00,2024-03-05,11,14693,4538,6077,3510,4,464,1123,0,144,0,0,6,0,-195,0,-1092,114,14693
2024-03-05 05:30:00,2024-03-05,12,14857,4538,6076,3505,4,469,1127,0,144,0,0,10,0,-158,0,-970,112,14857
2024-03-05 06:00:00,2024-03-05,13,15693,4539,6542,3508,25,457,1218,0,144,0,0,17,0,-35,0,-836,114,15693
2024-03-05 06:30:00,2024-03-05,14,16514,4540,6849,3505,29,460,1227,0,144,15,0,21,0,-38,0,-350,112,16514
2024-03-05 07:00:00,2024-03-05,15,17382,4540,7253,3505,68,466,1335,0,144,112,0,25,0,107,0,-290,117,17382
2024-03-05 07:30:00,2024-03-05,16,18619,4540,7283,3504,155,468,1565,0,144,383,0,29,0,125,0,306,117,18619
2024-03-05 08:00:00,2024-03-05,17,19804,4540,7833,3505,243,467,1880,0,144,488,0,38,0,166,0,384,116,19804
2024-03-05 08:30:00,2024-03-05,18,21051,4539,8405,3507,376,478,1923,0,144,720,0,49,0,1091,0,-296,115,21051
2024-03-05 09:00:00,2024-03-05,19,21709,4539,8441,3508,528,484,1951,0,144,617,0,43,0,1389,0,-56,121,21709
